1. open,2. high,3. low,4. close,5. volume
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6776,0.6900,0.6776,0.6811,25500
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6560,0.6560,0.6560,0.6560,10133
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7000,0.7050,0.7000,0.7050,31500
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,50
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,500
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,200
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,20000
0.6801,0.6801,0.6801,0.6801,1250
0.7000,0.7000,0.7000,0.7000,0
0.7000,0.7000,0.7000,0.7000,300
0.7000,0.7000,0.7000,0.7000,5600
0.7000,0.7000,0.7000,0.7000,300
0.7000,0.7000,0.7000,0.7000,5600
0.7000,0.7000,0.7000,0.7000,5600
0.7000,0.7000,0.7000,0.7000,5600
0.7000,0.7000,0.7000,0.7000,300
0.7000,0.7000,0.7000,0.7000,300
0.7000,0.7000,0.7000,0.7000,300
0.7000,0.7000,0.7000,0.7000,300
0.7000,0.7000,0.7000,0.7000,300
0.7025,0.7025,0.7000,0.7000,5600
0.7100,0.7100,0.7100,0.7100,20000
0.7100,0.7100,0.7100,0.7100,20000
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,20000
0.7000,0.7000,0.7000,0.7000,0
0.6980,0.6980,0.6980,0.6980,4000
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,296
0.6800,0.6800,0.6800,0.6800,0
0.6900,0.6900,0.6800,0.6800,10000
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,3000
0.6700,0.6700,0.6700,0.6700,0
0.6700,0.6700,0.6700,0.6700,0
0.6700,0.6700,0.6700,0.6700,0
0.6700,0.6700,0.6700,0.6700,10000
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6800,0.6800,0.6800,0.6800,0
0.6815,0.6815,0.6800,0.6800,500
0.7200,0.7200,0.7200,0.7200,0
0.7200,0.7200,0.7200,0.7200,0
0.7200,0.7200,0.7200,0.7200,0
0.7200,0.7200,0.7200,0.7200,0
0.7200,0.7200,0.7200,0.7200,0
0.7200,0.7200,0.7200,0.7200,0
0.7200,0.7200,0.7200,0.7200,0
0.7200,0.7200,0.7200,0.7200,0
0.7250,0.7250,0.7200,0.7200,7000
0.7600,0.7600,0.7600,0.7600,0
0.7600,0.7600,0.7600,0.7600,0
0.7600,0.7600,0.7600,0.7600,0
0.7600,0.7600,0.7600,0.7600,0
0.7600,0.7600,0.7600,0.7600,0
0.7600,0.7600,0.7600,0.7600,0
0.7600,0.7600,0.7600,0.7600,0
0.7625,0.7625,0.7625,0.7625,7000
0.7800,0.7800,0.7800,0.7800,0
0.7800,0.7800,0.7800,0.7800,0
0.7800,0.7800,0.7800,0.7800,0
0.7800,0.7800,0.7800,0.7800,0
0.7800,0.7800,0.7800,0.7800,0
0.7800,0.7800,0.7800,0.7800,0
0.7800,0.7800,0.7800,0.7800,0
0.7800,0.7800,0.7800,0.7800,1000
0.7700,0.7700,0.7700,0.7700,10000
0.7500,0.7500,0.7500,0.7500,0
0.7500,0.7500,0.7500,0.7500,0
0.7500,0.7500,0.7500,0.7500,0
0.7533,0.7533,0.7533,0.7533,10000
0.7300,0.7300,0.7300,0.7300,0
0.7329,0.7329,0.7300,0.7300,12000
0.7324,0.7324,0.7324,0.7324,4000
0.7400,0.7400,0.7400,0.7400,0
0.7400,0.7400,0.7400,0.7400,0
0.7400,0.7400,0.7400,0.7400,0
0.7400,0.7400,0.7400,0.7400,0
0.7400,0.7400,0.7400,0.7400,0
0.7400,0.7400,0.7400,0.7400,0
0.7400,0.7400,0.7400,0.7400,0
0.7400,0.7400,0.7400,0.7400,0
0.7400,0.7400,0.7400,0.7400,0
0.7400,0.7400,0.7400,0.7400,0
0.7400,0.7400,0.7400,0.7400,0
0.7400,0.7400,0.7400,0.7400,0
0.7400,0.7400,0.7400,0.7400,0
0.7400,0.7400,0.7400,0.7400,0
0.7400,0.7400,0.7400,0.7400,0
0.7400,0.7400,0.7400,0.7400,0
0.7400,0.7400,0.7400,0.7400,10000
0.7300,0.7300,0.7300,0.7300,0
0.7300,0.7300,0.7300,0.7300,0
0.7300,0.7300,0.7300,0.7300,0
0.7300,0.7300,0.7300,0.7300,0
0.7495,0.7495,0.7309,0.7309,16000
0.7500,0.7500,0.7500,0.7500,1000
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,0
0.7100,0.7100,0.7100,0.7100,8000
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6900,0.6900,0.6900,0.6900,0
0.6850,0.6850,0.6850,0.6850,3000
0.6700,0.6700,0.6700,0.6700,0
0.6700,0.6700,0.6700,0.6700,0
0.6700,0.6700,0.6700,0.6700,0
0.6700,0.6700,0.6700,0.6700,5000
0.6500,0.6500,0.6500,0.6500,2000
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,50337
0.6600,0.6600,0.6600,0.6600,0
0.6600,0.6600,0.6600,0.6600,3000
0.6860,0.6860,0.6860,0.6860,10
0.6900,0.6900,0.6900,0.6900,0
0.6775,0.6860,0.6775,0.6860,24700
0.6900,0.6900,0.6900,0.6900,2000
0.7000,0.7000,0.7000,0.7000,0
0.7000,0.7000,0.7000,0.7000,0
0.7000,0.7000,0.7000,0.7000,0
0.7000,0.7000,0.7000,0.7000,0
0.7000,0.7000,0.7000,0.7000,0
0.7000,0.7000,0.7000,0.7000,0
0.7000,0.7000,0.7000,0.7000,0
0.7000,0.7000,0.7000,0.7000,0
0.7000,0.7000,0.6900,0.7000,36500
0.7100,0.7100,0.7100,0.7100,10
